광역시도,시군구,20~39세계,20~39세여자,65세이상계,인구수계,인구수남자,인구수여자,소멸비율,소멸위기지역,소멸위기고위험지역,ID,y,x
경기도,덕양구,128811,63013,66283,467051,231010,236041,0.950666083309446,0,0,고양 덕양,3,4
경기도,동두천시,21377,10030,18298,92585,46302,46283,0.5481473385069406,0,0,동두천,1,4
경기도,동안구,88725,43476,35939,314107,153900,160207,1.2097164640084588,0,0,안양 동안,6,3
경기도,만안구,68402,32519,36484,239293,119715,119579,0.8913222234404122,0,0,안양 만안,5,3
경기도,부천시,235658,114391,106461,816254,404970,411284,1.0744873709621363,0,0,부천,5,2
경기도,분당구,136525,69419,58204,480686,233015,247672,1.192684351590956,0,0,성남 분당,8,7
경기도,상록구,100786,46801,38060,345097,175704,169394,1.229663688912244,0,0,안산 상록,8,3
경기도,수정구,69548,32754,36055,234559,118486,116073,0.9084454305921508,0,0,성남 수정,8,8
경기도,수지구,97248,49813,46884,369842,180430,189413,1.0624733384523506,0,0,용인 수지,8,9
경기도,시흥시,142694,65820,43659,483807,252576,231232,1.5075929361643647,0,0,시흥,7,3
경기도,안성시,45116,20437,31515,183828,94565,89264,0.6484848484848484,0,0,안성,11,6
경기도,양주시,54362,25761,34524,224618,113922,110697,0.7461765728189086,0,0,양주,1,3
경기도,양평군,21352,10102,29181,116778,58625,58153,0.34618416092663035,1,0,양평,4,9
경기도,여주시,23752,11011,23545,110689,56211,54478,0.4676576767891272,1,0,여주,5,9
경기도,연천군,9636,3819,11047,43105,22618,20487,0.3457047162125464,1,0,연천,1,5
경기도,영통구,122387,59653,25795,367134,184266,182869,2.3125799573560766,0,0,수원 영통,9,7
경기도,오산시,70077,32375,20946,226810,117138,109672,1.5456411725389096,0,0,오산,10,4
경기도,의왕시,45389,21727,21260,161142,80251,80892,1.0219661335841956,0,0,의왕,9,5
경기도,의정부시,122528,60120,66409,450781,222088,228693,0.905298980559864,0,0,의정부,1,7
경기도,이천시,59856,27020,29862,215668,111336,104332,0.904828879512424,0,0,이천,6,9
경기도,일산동구,82581,41645,35975,295460,143741,151719,1.1576094510076442,0,0,고양 일산동,2,4
경기도,일산서구,79030,39500,36316,299967,145575,154392,1.087674854058817,0,0,고양 일산서,3,3
경기도,장안구,77281,35939,35173,273908,137852,136056,1.0217780684047422,0,0,수원 장안,10,6
경기도,중원구,62502,29480,32535,214929,108743,106186,0.9061011218687568,0,0,성남 중원,7,8
경기도,처인구,67969,31664,35961,253858,130011,123847,0.8805094407830706,0,0,용인 처인,9,9
경기도,파주시,122866,57826,61841,456020,231388,224633,0.9350754353907602,0,0,파주,2,3
경기도,팔달구,53053,24996,25524,172567,86722,85845,0.9793135872120358,0,0,수원 팔달,10,5
경기도,평택시,148888,67898,62366,518514,268145,250369,1.0887021774684924,0,0,평택,11,4
경기도,포천시,32429,14073,28098,146290,77250,69040,0.5008541533205211,0,0,포천,1,6
경기도,하남시,82406,40480,35077,280941,141222,139719,1.1540325569461471,0,0,하남,3,9
경기도,화성시,250612,118544,72273,832227,431380,400847,1.6402252570116087,0,0,화성,10,3
경상남도,거제시,62844,28808,25701,245675,128767,116908,1.1208902377339405,0,0,거제,22,8
경상남도,거창군,11142,4979,16720,61478,30048,31431,0.2977870813397129,1,0,거창,16,6
경상남도,고성군,8064,3482,15730,51428,25796,25632,0.2213604577240941,1,0,고성(경남),22,7
경상남도,김해시,139958,66083,59060,539477,272737,266740,1.1189129698611582,0,0,김해,20,9
경상남도,남해군,5851,2521,16050,43005,20711,22294,0.15707165109034268,1,1,남해,22,6
경상남도,마산합포구,40335,18541,36206,175083,87177,87906,0.5120974424128597,0,0,창원 합포,19,8
경상남도,마산회원구,44890,20690,32212,191188,95972,95216,0.6423072147025953,0,0,창원 회원,21,7
경상남도,밀양시,18384,8256,28928,104301,51099,53202,0.2853982300884956,1,0,밀양,17,8
경상남도,사천시,23089,10047,23840,110680,55844,54836,0.4214345637583893,1,0,사천,21,6
경상남도,산청군,4759,2116,12547,34845,17098,17747,0.16864589144815495,1,1,산청,19,5
경상남도,성산구,63082,28789,17468,216963,110802,106161,1.6480993817265857,0,0,창원 성산,20,7
경상남도,양산시,91513,43658,46295,350004,175497,174508,0.9430392050977427,0,0,양산,19,7
경상남도,의령군,3909,1777,9777,26832,13114,13719,0.18175309399611334,1,1,의령,18,7
경상남도,의창구,71166,32642,31716,259218,131772,127446,1.0291966200025224,0,0,창원 의창,20,6
경상남도,진주시,86859,40828,57119,346176,171211,174966,0.7147884241670898,0,0,진주,18,6
경상남도,진해구,48513,22363,26642,192315,98368,93947,0.8393889347646573,0,0,창원 진해,20,8
경상남도,창녕군,10364,4543,18628,61342,30533,30809,0.2438801803736311,1,0,창녕,17,7
경상남도,통영시,26113,12239,24327,128933,64768,64165,0.503103547498664,0,0,통영,21,8
경상남도,하동군,6591,2796,15239,45390,22642,22748,0.1834766060765142,1,1,하동,20,5
경상남도,함안군,11629,5309,15608,64502,32679,31824,0.34014607893388005,1,0,함안,19,6
경상남도,함양군,5849,2650,12940,39045,18852,20193,0.20479134466769705,1,0,함양,17,6
경상남도,합천군,5835,2548,17183,44160,21273,22887,0.1482860967235058,1,1,합천,16,7
경상북도,경산시,69597,31844,43051,261751,131713,130039,0.7396808436505541,0,0,경산,12,11
경상북도,경주시,53175,23979,55535,252663,126557,126106,0.4317817592509228,1,0,경주,12,12
경상북도,고령군,5047,2209,9745,31647,16206,15441,0.2266803488968702,1,0,고령,13,9
경상북도,구미시,124029,57007,38533,416001,213221,202780,1.4794332130900787,0,0,구미,10,10
경상북도,군위군,3010,1246,9274,23385,11957,11428,0.13435410825965066,1,1,군위,11,10
경상북도,김천시,30287,13806,31687,140112,70262,69850,0.4356991826301007,1,0,김천,11,9
경상북도,남구,54569,23945,38988,231641,119277,112364,0.6141633323073766,0,0,포항 남구,11,12
경상북도,문경시,12188,5516,21066,71267,34971,36296,0.2618437292319377,1,0,문경,8,10
경상북도,봉화군,4109,1814,11291,31492,15846,15647,0.16065893189265787,1,1,봉화,8,11
경상북도,북구,63114,29256,45353,270547,134498,136049,0.6450730932904107,0,0,포항 북구,10,12
경상북도,상주시,16322,7165,29928,98241,48211,50030,0.2394079123229083,1,0,상주,11,8
경상북도,성주군,7030,3028,13625,43400,22450,20950,0.22223853211009173,1,0,성주,13,11
경상북도,안동시,32600,15222,38301,158634,78530,80104,0.3974308764784209,1,0,안동,9,10
경상북도,영덕군,5059,2284,13498,36484,17340,19145,0.16921025337086976,1,1,영덕,7,11
경상북도,영양군,2242,981,6125,16667,8279,8388,0.16016326530612246,1,1,영양,9,11
경상북도,영주시,18594,8163,27545,103452,51295,52157,0.29635142494100564,1,0,영주,10,9
경상북도,영천시,19951,8572,28034,101506,51618,49888,0.30577156310194764,1,0,영천,12,10
경상북도,예천군,9631,4548,16520,55042,27054,27989,0.27530266343825666,1,0,예천,10,8
경상북도,울릉군,1768,713,2291,9185,5008,4177,0.3112178088171104,1,0,울릉,8,13
경상북도,울진군,8904,3864,13424,48710,24423,24288,0.28784266984505363,1,0,울진,6,11
경상북도,의성군,6607,2865,21081,51647,25277,26371,0.13590436886295718,1,1,의성,11,11
경상북도,청도군,5821,2547,15701,42279,20776,21503,0.16221896694478058,1,1,청도,13,10
경상북도,청송군,3527,1439,9189,25052,12513,12539,0.15660028294700185,1,1,청송,10,11
경상북도,칠곡군,28045,12522,17669,114969,59991,54978,0.7086988510951384,0,0,칠곡,12,9
광주광역시,광산구,113180,54616,37126,403810,203241,200569,1.4710984215913376,0,0,광주 광산,21,2
