구별,소계,최근증가율,인구수,내국인,외국인,고령자,외국인비율,고령자비율,cctv비율,오차
강남구,5221,52.17137860682017,544085,539235,4850,73942,0.8914048356414899,13.590155949897534,0.959592710697777,2579.013267560138
강동구,1879,82.96007789678676,462275,458058,4217,68798,0.9122275701692715,14.882483370288249,0.406468011465037,526.3154305347894
강북구,1265,83.06801736613603,313550,309996,3554,62951,1.1334715356402487,20.076861744538352,0.40344442672619996,710.0631462684171
강서구,1617,77.88778877887789,589536,583544,5992,88052,1.0163925527872768,14.935813928241872,0.2742835043152581,1156.4736819923305
관악구,3985,99.1504247876062,514555,498574,15981,78206,3.105790440283352,15.198763980526863,0.774455597555169,1428.44174262745
광진구,1581,111.93029490616621,361923,348064,13859,50047,3.8292675513852394,13.828079453364388,0.4368332490612644,534.0032622328968
구로구,3227,72.10666666666667,435751,405579,30172,69312,6.924137867727211,15.906331827121454,0.7405605494881251,898.4168712832052
금천구,1634,112.48374512353708,249641,232157,17484,39361,7.003657251813604,15.767041471553151,0.6545399193241496,156.17833715643474
노원구,1906,42.026825633383005,529532,525486,4046,84612,0.7640709154498689,15.97863774049538,0.35994047574084287,693.8857978765504
도봉구,858,66.60194174757281,329300,327248,2052,61388,0.6231399939265108,18.641967810507136,0.26055268751897964,1162.626928263343
동대문구,2003,39.38761308281141,358679,344416,14263,61408,3.9765361228284903,17.12060087153137,0.5584380462753604,102.61856961121157
동작구,1780,79.25478348439073,404617,393554,11063,64674,2.734190604942452,15.984004626597498,0.43992219802924737,458.5143802323487
마포구,1935,91.77403369672945,383494,373508,9986,54053,2.603952082692298,14.09487501760132,0.504571127579571,242.4068394654396
서대문구,2121,71.7408906882591,323860,313212,10648,53869,3.287840424874946,16.633421848947076,0.6549126165627123,116.1106573907773
서초구,2835,54.07608695652174,429995,426009,3986,59495,0.9269875231107338,13.83620739776044,0.659309991976651,523.0686255157634
성동구,2679,114.14868105515588,302695,295591,7104,45372,2.346916863509473,14.989345711029253,0.88504930705826,735.3397015763398
성북구,3003,78.00829875518673,449871,439719,10152,73370,2.256646905446228,16.309119725432403,0.6675246904112513,633.5685791074366
송파구,1586,62.83367556468173,676673,670331,6342,92149,0.9372326071824943,13.61795135907595,0.23438204272964933,1439.555667496576
양천구,2775,90.19876627827279,460048,456240,3808,64804,0.8277397141167878,14.086356206308906,0.6031979271728167,376.12714359236634
영등포구,2495,139.44337811900192,405982,375630,30352,60826,7.476193525821342,14.982437645018745,0.6145592661743624,252.5367586614243
용산구,2063,12.058663769690385,244953,229786,15167,39995,6.191800059603271,16.32762203361461,0.8422023816813837,286.38375871608696
은평구,2962,43.091787439613526,485842,481546,4296,84353,0.8842380856327778,17.362228872761104,0.6096632238464357,488.5066869081047
종로구,1471,56.323060573857596,159842,149952,9890,28396,6.187360018017793,17.765042979942695,0.92028378023298,59.395349260412104
중구,1544,145.4689984101749,135321,125800,9521,24265,7.035862874202821,17.93143710141072,1.1409906814167794,84.54239666324384
중랑구,1068,22.477064220183486,400989,395997,4992,68658,1.2449219305267725,17.122165445934925,0.2663414707136605,1160.0187992115493
